사번,회원 ID,이름,직급,부서,전화번호,생년월일,성별,이메일,우편번호,주소,상세주소,입사일
111,smkim5678,김수민,Junior,IT,010-1234-5678,1992-05-14,F,smkim5678@Nakao.com,12345,서울시 중구 을지로 123,201호,2025-01-10
112,hpark6789,박하늘,Senior,HR,010-2345-6789,1985-11-22,F,hpark6789@Nakao.com,23456,서울시 동대문구 왕산로 456,B동 202호,2024-03-05
113,jwoo7890,오정우,Manager,Finance,010-3456-7890,1990-07-11,M,jwoo7890@Nakao.com,34567,서울시 성동구 왕십리로 789,1층,2023-08-20
114,mjung8901,정민재,Junior,Marketing,010-4567-8901,1994-02-03,M,mjung8901@Nakao.com,45678,서울시 서초구 반포대로 123,904호,2022-09-15
115,sjlee9012,이서진,Senior,Sales,010-5678-9012,1988-12-05,F,sjlee9012@Nakao.com,56789,서울시 관악구 봉천로 321,(봉천동) 9012,2021-12-01
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
